id,city,title,company,money
132,广州,软件工程师（Python）,京信通信,12500
133,广州,python开发工程师,天地网通,11000
134,广州,python教员,百捷教育投资,9000
135,广州,python开发 - 实习生,51JOB-图灵科技,3000
136,广州,Python开发工程师,广东紫晶,11500
137,广州,python后端开发工程师,张量信息,6500
138,广州,Python数据工程师（中级）,鸿蒙科技,10000
139,广州,Python数据工程师（初级）,鸿蒙科技,7000
140,广州,Python开发工程师,悦谦科技,22500
141,广州,python开发工程师,中科汇,11000
142,广州,Python 后台研发工程师,影子科技,24000
143,广州,Python工程师,瑞云网络,15000
144,广州,python工程师,字言智语,1500
145,广州,Python开发工程师,MUN-U,11500
146,广州,Python开发工程师,易度网络,9000
147,广州,python后台开发工程师,探迹科技,16000
148,广州,python爬虫工程师,儒韵,8500
149,广州,python开发工程师,京信通信,11500
150,广州,python程序工程师,小米加步枪,17000
151,广州,python工程师,医昊网络,8000
152,广州,python开发工程师,广州三顾,11500
153,广州,Python实习生,特赛投资管理合伙企业,2500
154,广州,python开发工程师,派客朴食,11500
155,广州,python后端开发工程师,健康互联,12500
156,广州,后端开发工程师（Python）,武汉有天健身有限公司,20000
157,广州,Python开发工程师,广州市云润大数据,11500
158,广州,python开发工程师,广州亿联百汇科技有限公司,9500
159,广州,Python研发工程师,浙大华南院,15000
160,广州,Python工程师,易工作,8000
161,广州,Python开发工程师,中思拓大数据研究院,19000
162,广州,python后台开发工程师,中康资讯,17500
163,广州,python爬虫工程师,中康资讯,15000
164,广州,python开发工程师,网易,20000
165,广州,python程序工程师,网易,22500
166,广州,python工程师,德惟科技,12000
167,广州,python开发工程师,博维,24000
168,广州,Python实习生,创拓信息,2500
169,广州,python开发工程师,创拓信息,2500
170,广州,python后端开发工程师,璟泓医疗,20000
171,广州,后端开发工程师（Python）,金山办公软件,24000
172,广州,Python开发工程师,超悦文化,4500
173,广州,python开发工程师,妙小程少儿编程,10000
174,广州,Python研发工程师,宜华科技,15000
175,广州,Python工程师,广东人民出版社,8500
176,广州,高级讲师（Python方向）,广东人民出版社,13500
177,广州,python爬虫,头文科技,9500
178,广州,后台开发工程师（中级/高级/资深）-有owner职责,字节跳动,45000
179,广州,后端开发工程师—saas,字节跳动,30000
180,广州,【新加坡】高级软件工程师：技术平台,Shopee,45000
181,广州,测试工程师,顺畅科技,9500
182,广州,测试工程师,播种网,7000
183,广州,测试开发工程师,点云科技,22500
184,广州,数据挖掘工程师--联通沃音乐,易杰,17000
185,广州,数据仓库-ETL工程师--联通沃音乐项目,易杰,15000
186,广州,测试工程师,慧博云通,12000
187,广州,技术经理,探迹科技,35000
188,广州,资深后台开发工程师,探迹科技,30000
189,广州,中级PHP开发工程师,深海游戏,13500
190,广州,高级php开发工程师,深海游戏,18000
191,广州,测试工程师,一手,11500
192,广州,资深运维开发工程师,本原网络,30000
193,广州,金融催收数据分析师,唯品会,15000
194,广州,爬虫工程师,至真科技,12500
195,广州,sre运维工程师,至真科技,8500
196,广州,运维开发,爱员工,22500
197,广州,高级数据开发工程师,Mobvista,20000
198,广州,高级测试工程师,Mobvista,15000
199,广州,高级增长产品经理,翡翠东方TVBC,27500
200,广州,数据产品经理,翡翠东方TVBC,32500
201,上海,高级后端开发工程师（Python）,字节跳动,37500
202,上海,服务端开发工程师（Python）,字节跳动,30000
203,上海,python开发工程师,网达软件,15000
204,上海,资深Python开发工程师,Netis,30000
205,上海,联邦学习算法工程师/Python高级工程师,光点科技,12000
206,上海,Python 后端开发工程师,大亲家,30000
207,上海,python开发工程师G00345,谷露软件,30000
208,上海,Python 后端开发工程师,大亲家,22500
209,上海,Python后端开发工程师SH,通联数据,15000
210,上海,1131BN-python运维开发工程师,平安科技,20000
211,上海,后端工程师（Python/Golang）,赛舵智能,30000
212,上海,奇秀-Python后端研发工程师--3532,爱奇艺,27500
213,上海,python后端工程师,问卷网@爱调研,17000
214,上海,Python后端开发工程师（应用开发方向）,MRS,22500
215,上海,python高级开发工程师,问卷网@爱调研,22500
216,上海,Python高级开发工程师,Student.com,22500
217,上海,python开发工程师,Student.com,15000
218,上海,python开发工程师,合阔信息,20000
219,上海,Python开发工程师,BaseBit AI 翼方健数,16000
220,上海,python后台开发工程师,众标智能科技,15000
221,上海,python工程师,TCL,22500
222,上海,python开发工程师,丰贺信息,20000
223,上海,python开发工程师,栖盟科技,22500
224,上海,python爬虫工程师,我查查,20000
225,上海,服务应用工程师（python）(J11725),TapTap,25000
226,上海,python开发工程师,微创软件,15500
227,上海,Python后端开发工程师,坚果云,30000
